ncontrato,ncat,regist,cuotamensual,opcionmoneda,,
00063,90203293,RGJ-634,8.33,2,,
00063,90302806,RGJ-634,8.33,2,,
00063,81286,RGG-474,8.33,2,,
00063,90203289,RGG-474,8.33,2,,
00063,90302802,RGG-474,8.33,2,,
00171,12403129,RIC-381,9.33,2,,
00150,12400693,RIC-381,9.17,2,,
00150,12401509,RIC-381,9.17,2,,
00150,12402338,RIC-381,9.17,2,,
00150,11414135,RIC-381,9.17,2,,
00150,11415011,RIC-381,9.17,2,,
00150,11415841,RIC-381,9.17,2,,
00150,11411198,RIC-381,9.17,2,,
00150,11412207,RIC-381,9.17,2,,
00150,11413045,RIC-381,9.17,2,,
00150,11407906,RIC-381,9.17,2,,
00150,11409072,RIC-381,9.17,2,,
00150,11410139,RIC-381,9.17,2,,
00125,11404634,RIC-381,9.17,2,,
00125,11405519,RIC-381,9.17,2,,
00125,11406633,RIC-381,9.17,2,,
00125,10410775,RIC-381,9.17,2,,
00125,11400720,RIC-381,9.17,2,,
00125,11403930,RIC-381,9.17,2,,
00125,10407434,RIC-381,9.17,2,,
00125,10408412,RIC-381,9.17,2,,
00125,10409558,RIC-381,9.17,2,,
00125,10402452,RIC-381,9.17,2,,
00125,10404017,RIC-381,9.17,2,,
00125,10405500,RIC-381,9.17,2,,
00092,20913233,RIC-381,8.33,2,,
00092,20915245,RIC-381,8.33,2,,
00092,10400825,RIC-381,8.33,2,,
00092,20911563,RIC-381,8.33,2,,
00092,20296005,RIC-381,8.33,2,,
00092,20297262,RIC-381,8.33,2,,
00092,20097736,RIC-381,8.33,2,,
00092,20693096,RIC-381,8.33,2,,
00092,20099467,RIC-381,8.33,2,,
00092,20493283,RIC-381,8.33,2,,
00092,20592109,RIC-381,8.33,2,,
00092,20096225,RIC-381,8.33,2,,
00063,90601045,RIC-381,8.33,2,,
00063,90601958,RIC-381,8.33,2,,
00063,20094444,RIC-381,8.33,2,,
00063,81317,RIC-381,8.33,2,,
00063,90203318,RIC-381,8.33,2,,
00063,90302831,RIC-381,8.33,2,,
00195,14407672,RGZ-573,27,1,,
00221,14409202,RGZ-573,23.33,1,,
00221,14409927,RGZ-573,23.33,1,,
00171,13405997,RGZ-573,25.58,1,,
00195,13406097,RGZ-573,27,1,,
00195,14406588,RGZ-573,27,1,,
00195,13403679,RGZ-573,27,1,,
00195,13404325,RGZ-573,27,1,,
00171,13405056,RGZ-573,25.58,1,,
00171,12406547,RGZ-573,9.33,2,,
00171,13402058,RGZ-573,25.58,1,,
00195,13402848,RGZ-573,27,1,,
00171,12403964,RGZ-573,9.33,2,,
00171,12404829,RGZ-573,9.33,2,,
00171,12405711,RGZ-573,9.33,2,,
00150,12401899,RGZ-573,9.17,2,,
00150,12402386,RGZ-573,9.17,2,,
00171,12403119,RGZ-573,9.33,2,,
00063,90601040,RGZ-573,8.33,2,,
00063,90601954,RGZ-573,8.33,2,,
00063,20094439,RGZ-573,8.33,2,,
00063,81311,RGZ-573,8.33,2,,
00063,90203312,RGZ-573,8.33,2,,
00063,90302825,RGZ-573,8.33,2,,
00125,10408467,RGE-193,9.17,2,,
00125,10403966,RGE-193,9.17,2,,
00125,10405553,RGE-193,9.17,2,,
00125,10407498,RGE-193,9.17,2,,
00092,20297297,RGE-193,8.33,2,,
00092,20913267,RGE-193,8.33,2,,
00092,20915281,RGE-193,8.33,2,,
00092,20099504,RGE-193,8.33,2,,
00092,20911607,RGE-193,8.33,2,,
00092,20296040,RGE-193,8.33,2,,
00092,20096262,RGE-193,8.33,2,,
00092,20097773,RGE-193,8.33,2,,
00092,20693132,RGE-193,8.33,2,,
00063,20094627,RGE-193,9.45,2,,
00092,20493318,RGE-193,8.33,2,,
00092,20592144,RGE-193,8.33,2,,
00268,201751124,RGA-055,23.33,1,,
00268,201805606,RGA-055,23.33,1,,
00268,201809952,RGA-055,23.33,1,,
00256,201736861,RGA-055,23.33,1,,
00256,201746583,RGA-055,23.33,1,,
00256,201747425,RGA-055,23.33,1,,
00256,201721941,RGA-055,23.33,1,,
00256,201725644,RGA-055,23.33,1,,
00256,201731042,RGA-055,23.33,1,,
00256,201709828,RGA-055,23.33,1,,
00256,201713772,RGA-055,23.33,1,,
00256,201716732,RGA-055,23.33,1,,
00256,16423054,RGA-055,23.33,1,,
00256,201703052,RGA-055,23.33,1,,
00256,201705909,RGA-055,23.33,1,,
00240,16413221,RGA-055,23.33,1,,
00240,16417072,RGA-055,23.33,1,,
00240,16419838,RGA-055,23.33,1,,
00240,15416362,RGA-055,23.33,1,,
00240,16405261,RGA-055,23.33,1,,
00240,16409454,RGA-055,23.33,1,,
00221,14411639,RGA-055,23.33,1,,
00221,14412550,RGA-055,23.33,1,,
00240,15414452,RGA-055,23.33,1,,
00195,14407667,RGA-055,27,1,,
00221,14408723,RGA-055,23.33,1,,
00221,14409920,RGA-055,23.33,1,,
00195,14403457,RGA-055,27,1,,
00195,14404798,RGA-055,27,1,,
00195,14406562,RGA-055,27,1,,
00195,13407457,RGA-055,27,1,,
00195,13408158,RGA-055,27,1,,
00195,13408813,RGA-055,27,1,,
00195,13404320,RGA-055,27,1,,
00195,13406092,RGA-055,27,1,,
00195,13406672,RGA-055,27,1,,
00171,12402089,RGA-055,25.58,1,,
00195,13402843,RGA-055,27,1,,
00195,13403674,RGA-055,27,1,,
00023,90301710,RN-1644,8.33,2,,
00023,20093829,RN-1644,8.33,2,,
00023,90601424,RN-1644,8.33,2,,
00023,79942,RN-1644,8.33,2,,
00023,81953,RN-1644,8.33,2,,
00023,90402319,RN-1644,8.33,2,,
00023,20094973,RE-6822,8.33,2,,
00023,20096841,RE-6822,8.33,2,,
00023,90301691,RE-6822,8.33,2,,
00023,20093810,RE-6822,8.33,2,,
00023,90601405,RE-6822,8.33,2,,
00023,79923,RE-6822,8.33,2,,
00023,81934,RE-6822,8.33,2,,
00023,90402300,RE-6822,8.33,2,,
00023,20095225,RIM-307,8.33,2,,
